,Make,Model,Variant,Ex-Showroom_Price,City_Mileage,Cylinders,Highway_Mileage,Drivetrain,Emission_Norm,Fuel_Type,Body_Type,Kerb_Weight,Gears,Ground_Clearance,Power_Steering,Power,Doors,Type,Audiosystem,Aux-in_Compatibility,Boot_Space,Child_Safety_Locks,Number_of_Airbags
833,Land Rover,Range Sport,5.0L V8 Autobiography Dynamic Petrol,17940227,13.2,8.0,15.7,4WD,BS IV,Petrol,SUV,2134,8,295.5,Electric Power,518bhp@6000-6500rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,909,Yes,8.0
834,Land Rover,Range Sport,3.0L Tdv6 S Diesel,10373732,13.2,6.0,15.7,FWD (Front Wheel Drive),BS IV,Diesel,SUV,2134,8,172.0,Electric Power,254 bhp @ 4000 rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,1761,Yes,8.0
835,Land Rover,Range Sport,3.0L Tdv6 Se Diesel,11913021,13.2,6.0,15.7,FWD (Front Wheel Drive),BS IV,Diesel,SUV,2134,8,227.0,Electric Power,254 bhp @ 4000 rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,1761,Yes,8.0
836,Land Rover,Range Sport,4.4L Sdv8 Hse Diesel,14908985,5.9,8.0,11.5,4WD,BS IV,Diesel,SUV,2443,8,295.5,Electric Power,335bhp@3500rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,1761,Yes,8.0
837,Jaguar,Xj,3.0L,9738609,9.5,6.0,10.5,AWD (All Wheel Drive),BS IV,Diesel,Sedan,1871,8,100.0,Hydraulic Power,274PS@4000RPM,4.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,520,Yes,6.0
838,Jaguar,Xj,3.0L Portfolio,10725145,9.5,6.0,10.5,AWD (All Wheel Drive),BS IV,Diesel,Sedan,1871,8,100.0,Hydraulic Power,274PS@4000RPM,4.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,520,Yes,6.0
839,Jaguar,Xj,50,11129599,9.5,6.0,10.5,AWD (All Wheel Drive),BS IV,Diesel,Sedan,1860,8,100.0,Hydraulic Power,302bhp@4000RPM,4.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,478,Yes,6.0
840,Porsche,Cayenne,E-Hybrid,15806000,9.5,6.0,10.5,AWD (All Wheel Drive),BS VI,Hybrid,SUV,2370,8,210.0,Hydraulic Power,340bhp@6400RPM,5.0,Automatic,CD Player with USB & Aux-in,Yes,645,Yes,1.0
841,Porsche,Cayenne,Turbo,19210000,9.5,6.0,10.5,AWD (All Wheel Drive),BS VI,Petrol,SUV,2245,8,190.0,Hydraulic Power,550bhp@6000RPM,5.0,Automatic,CD Player with USB & Aux-in,Yes,745,Yes,1.0
842,Porsche,Cayenne,Base,11936000,9.5,6.0,10.5,AWD (All Wheel Drive),BS VI,Petrol,SUV,2840,8,210.0,Hydraulic Power,335PS@5300rpm,5.0,Automatic,CD Player with USB & Aux-in,Yes,770,Yes,1.0
843,Maserati,Ghibli,Diesel,13387856,9.5,6.0,10.5,AWD (All Wheel Drive),BS IV,Diesel,SUV,1810,8,210.0,Yes,275PS@4000rpm,4.0,Automatic,CD Player with USB & Aux-in,Yes,500,Yes,1.0
844,Maserati,Ghibli,Gransport,13881858,9.5,6.0,10.5,AWD (All Wheel Drive),BS IV,Diesel,SUV,1810,8,210.0,Yes,275bhp@4000RPM,4.0,Automatic,CD Player with USB & Aux-in,Yes,500,Yes,1.0
845,Maserati,Ghibli,Granlusso,14247814,9.5,6.0,10.5,AWD (All Wheel Drive),BS IV,Diesel,SUV,1810,8,210.0,Yes,275bhp@4000RPM,4.0,Automatic,CD Player with USB & Aux-in,Yes,500,Yes,1.0
846,Toyota,Land Cruiser,Vx,14699000,5.3,8.0,9.0,AWD (All Wheel Drive),BS IV,Diesel,SUV,2740,6,225.0,Electric Power,265PS@3400rpm,5.0,Automatic,DVD Player with USB & Aux-in,Yes,621,Yes,8.0
847,Audi,Rs7,Sportback,17072000,5.6,8.0,9.0,AWD (All Wheel Drive),BS IV,Petrol,"Sedan, Coupe",1995,8,109.0,Electric Power,560PS@6600RPM,4.0,Automatic,DVD Player with USB & Aux-in,Yes,535,Yes,8.0
848,Land Rover,Range,5.0L V8 Autobiography Petrol,26037526,4.4,8.0,9.6,4WD,BS IV,Petrol,SUV,2687,8,295.5,Electric Power,518bhp@6000-6500rpm,5.0,Automatic,CD Player with USB & Aux-in,Yes,535,Yes,1.0
849,Land Rover,Range,5.0L V8 Svautobiography Dynamic Petrol,32522000,4.4,8.0,9.6,4WD,BS IV,Petrol,SUV,2687,8,295.5,Electric Power,558PS@6000-6500rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,535,Yes,8.0
850,Land Rover,Range,3.0L V6 Vogue Lwb Petrol,19527130,8.1,6.0,11.6,4WD,BS IV,Petrol,SUV,2687,8,295.5,Electric Power,335bhp@6500RPM,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,909,Yes,8.0
851,Land Rover,Range,5.0L V8 Svautobiography Lwb Petrol,40499548,8.0,8.0,10.0,4WD,BS IV,Petrol,SUV,2330,8,295.0,Electric Power,558bhp@6000-6500RPM,4.0,Automatic,DVD Player with USB & Aux-in,Yes,909,Yes,8.0
852,Land Rover,Range,3.0L Tdv6 Vogue Diesel,18185267,8.0,6.0,10.0,4WD,BS IV,Diesel,SUV,2330,8,295.5,Electric Power,254bhp@3750rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,909,Yes,8.0
853,Land Rover,Range,3.0L Tdv6 Vogue Lwb Diesel,19527130,8.0,6.0,10.0,4WD,BS IV,Diesel,SUV,2687,8,295.5,Electric Power,254bhp@3750rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,909,Yes,8.0
854,Land Rover,Range,4.4L Sdv8 Autobiography Lwb Diesel,25174051,8.0,8.0,10.0,4WD,BS IV,Diesel,SUV,2687,8,295.5,Electric Power,335bhp@3500rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,909,Yes,8.0
